batch	variable1	value1	batch_shortname
180322-190603	shortReadsPerc	1.04254712574278	A
180626-180628-190531	shortReadsPerc	5.91716584486172	B
180726-190530	shortReadsPerc	1.69517852491757	C
180913-190529	shortReadsPerc	3.54639814978092	D
180919-190527	shortReadsPerc	3.20126545703654	E
181003-190524	shortReadsPerc	1.41010406262259	F
181004-190521	shortReadsPerc	1.56161519397308	G
181023-190319	shortReadsPerc	1.44370040106239	H
180322-190603	readsAdapterNotFoundPerc	3.39780237169364	A
180626-180628-190531	readsAdapterNotFoundPerc	0.825769080546003	B
180726-190530	readsAdapterNotFoundPerc	1.31676282539013	C
180913-190529	readsAdapterNotFoundPerc	1.0148996463362	D
180919-190527	readsAdapterNotFoundPerc	1.0405592027754	E
181003-190524	readsAdapterNotFoundPerc	1.10182675481137	F
181004-190521	readsAdapterNotFoundPerc	1.28860204844672	G
181023-190319	readsAdapterNotFoundPerc	1.00298802445324	H
180322-190603	reads	95.5596505025636	A
180626-180628-190531	reads	93.2570650745923	B
180726-190530	reads	96.9880586496923	C
180913-190529	reads	95.4387022038829	D
180919-190527	reads	95.7581753401881	E
181003-190524	reads	97.488069182566	F
181004-190521	reads	97.1497827575802	G
181023-190319	reads	97.5533115744844	H
