Read Length (nt)	UR	Percentage_UR	RC	180626-180628-190531_Brain_S32	RPM
15	4450	3.10199643096141	74209	0.7103258612350495	7103.258612350494
16	4342	3.0267120231987508	65442	0.6264084546476048	6264.084546476048
17	6040	4.210350211911666	105570	1.010512217798167	10105.12217798167
18	4605	3.2100434976578183	143133	1.3700638938155254	13700.638938155254
19	4755	3.3146051751059558	312341	2.9897167435758005	29897.167435758005
20	8708	6.070153914789204	633661	6.065380150063505	60653.801500635054
21	14539	10.134814856123132	2267716	21.706495448483356	217064.95448483355
22	19535	13.61741579299576	4293320	41.09550359872337	410955.0359872337
23	15908	11.0891144322998	1362496	13.041762382316294	130417.62382316295
24	9645	6.723315859915235	535289	5.123766927659022	51237.66927659022
25	5615	3.9140921258086103	73978	0.708114737598492	7081.14737598492
26	4405	3.0706279277269686	38096	0.3646535327198917	3646.535327198917
27	4249	2.9618837831809057	37859	0.36238497730056646	3623.8497730056647
28	4162	2.901238010260986	35293	0.3378233182035683	3378.233182035683
29	4096	2.8552308721838053	39251	0.37570915090267926	3757.0915090267927
30	4074	2.839895159491412	47787	0.45741543385356637	4574.154338535664
31	4247	2.9604896274815973	108222	1.0358970657815025	10358.970657815025
32	4712	3.284630827570823	121698	1.1648888498778187	11648.888498778188
33	3976	2.7715815302252955	83179	0.7961863764728022	7961.863764728022
34	2912	2.0298906981931744	34465	0.3298977321816219	3298.977321816219
35	2025	1.411582645549855	11450	0.10959898544841348	1095.9898544841349
36	1565	1.0909268347089003	7849	0.0751303438239823	751.3034382398231
37	1136	0.7918804372072273	3766	0.036048015650543684	360.4801565054368
38	910	0.634340843185367	2895	0.02771083518542856	277.1083518542856
39	728	0.5074726745482936	2426	0.023221584165751187	232.21584165751187
40	516	0.3596921704215927	1283	0.012280829548499083	122.80829548499082
41	343	0.23909770243140754	824	0.007887298166767922	78.87298166767923
42	312	0.2174882890921258	821	0.007858582275384059	78.58582275384059
43	233	0.1624191389694401	809	0.007743718709848603	77.43718709848604
44	192	0.13383894713361588	1116	0.010682311594797331	106.82311594797332
45	135	0.09410550970332367	357	0.0034171910746797914	34.17191074679791
46	102	0.07110194066473344	148	0.0014166506416039473	14.166506416039471
47	63	0.04391590452821771	93	8.901926328997777E-4	8.901926328997776
48	58	0.04043051527994646	90	8.614767415159138E-4	8.614767415159138
49	36	0.025094802587552978	51	4.8817015352568447E-4	4.881701535256845
50	27	0.018821101940664733	33	3.1587480522250175E-4	3.1587480522250173
51	18	0.012547401293776489	30	2.8715891383863793E-4	2.8715891383863794
52	20	0.013941556993084988	23	2.2015516727628907E-4	2.201551672762891
53	18	0.012547401293776489	28	2.680149862493954E-4	2.680149862493954
54	12	0.008364934195850993	36	3.445906966063655E-4	3.445906966063655
55	10	0.006970778496542494	15	1.4357945691931897E-4	1.4357945691931897
56	11	0.007667856346196743	16	1.5315142071394025E-4	1.5315142071394023
57	7	0.004879544947579746	8	7.657571035697012E-5	0.7657571035697012
58	4	0.0027883113986169974	5	4.785981897310632E-5	0.4785981897310632
