Read Length (nt)	UR	Percentage_UR	RC	181004-190521_Brain_S35	RPM
15	2125	0.5658744424472405	51311	0.15279271256987242	1527.9271256987242
16	2175	0.579189135210705	38719	0.11529654534101635	1152.9654534101635
17	4026	1.07209906131416	93386	0.278082677321629	2780.82677321629
18	4633	1.233739431462619	247799	0.7378901479624606	7378.9014796246065
19	6599	1.7572731509220425	660871	1.9679264241344772	19679.264241344772
20	14601	3.8881565807868985	1563892	4.656921534297186	46569.21534297186
21	30919	8.233539711071167	6555589	19.521081752513446	195210.81752513445
22	51759	13.783103654883163	13882249	41.338240947952656	413382.40947952657
23	40440	10.768923507090074	4357915	12.97689879361025	129768.98793610251
24	23844	6.349510685040943	1818352	5.414646654457186	54146.46654457186
25	11607	3.0908727781106453	228039	0.6790492756274704	6790.492756274704
26	7686	2.0467345715997602	91623	0.27283285657635636	2728.3285657635633
27	7892	2.101591105785234	94830	0.2823825872230321	2823.8258722303212
28	8137	2.16683310032621	98017	0.2918727623309073	2918.7276233090734
29	8938	2.380134478396911	120042	0.3574582994350651	3574.582994350651
30	11013	2.932694228080687	197027	0.5867024571632643	5867.024571632643
31	14704	3.9155848478796353	602406	1.793830695335631	17938.30695335631
32	22776	6.065108847613342	925747	2.7566680689018277	27566.680689018278
33	20257	5.394314626190001	796310	2.371233555115182	23712.33555115182
34	13547	3.607482857333067	394290	1.1741076696843755	11741.076696843757
35	8859	2.359097263830637	120912	0.36004896537289105	3600.489653728911
36	8065	2.147659942746821	127376	0.37929731551324414	3792.973155132441
37	6291	1.6752546434991014	58428	0.17398555105206498	1739.8555105206497
38	5922	1.5769922109047334	59844	0.17820208319914727	1782.0208319914727
39	5713	1.5213367951534518	65545	0.19517838953425753	1951.7838953425753
40	4950	1.3181545835829838	47902	0.1426414709813106	1426.4147098131061
41	4003	1.0659743026429664	31478	0.0937344625182601	937.344625182601
42	3904	1.039611210971307	38822	0.11560325636583943	1156.0325636583943
43	4096	1.0907396311830104	58890	0.17536128399835876	1753.6128399835877
44	4266	1.1360095865787896	95485	0.2843330311187517	2843.330311187517
45	2923	0.7783769389521337	26620	0.07926842214359502	792.6842214359501
46	2105	0.5605485653418547	9302	0.027699281096157807	276.9928109615781
47	1723	0.4588243126289861	7117	0.021192838482192552	211.9283848219255
48	1232	0.32807402969176486	4569	0.013605462838996454	136.05462838996453
49	895	0.23833300046601424	2760	0.008218664354482428	82.18664354482428
50	700	0.18640569868850276	1809	0.005386798484514026	53.86798484514026
51	580	0.154450436056188	1685	0.0050175541439503235	50.175541439503235
52	430	0.11450635776579456	1095	0.0032606657493327025	32.60665749332703
53	352	0.09373543705478996	1273	0.0037907100446580187	37.90710044658019
54	290	0.077225218028094	1273	0.0037907100446580187	37.90710044658019
55	205	0.05459024033020438	629	0.0018730216952787854	18.730216952787853
56	141	0.037547433592969845	443	0.0013191551844332304	13.191551844332304
57	117	0.03115638106650689	286	8.516442048485415E-4	8.516442048485414
58	85	0.02263497769788962	142	4.2284432548424087E-4	4.228443254842409
